final_theme,initial_code,occurrences,hierarchy_path
Functional Fit and Wearability,Comfortable lightweight fabric,1,"Comfortable lightweight fabric -> Comfort and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Comfortable lined construction,1,"Comfortable lined construction -> Fabric comfort and feel -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Comfortable medium-weight fabric,1,"Comfortable medium-weight fabric -> Comfort, fabric, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Comfortable mid-rise waist,1,"Comfortable mid-rise waist -> Comfort, softness, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Comfortable neckline,1,"Comfortable neckline -> Design details and functionality -> Functionality, Coverage, and Practical Garment Features -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Comfortable non-clingy fabric,1,"Comfortable non-clingy fabric -> Fabric Comfort, Feel, and Weight -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Comfortable skirt,1,"Comfortable skirt -> Comfort and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Comfortable sleeve fit,1,"Comfortable sleeve fit -> Fit, sizing, and body-shape compatibility -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Comfortable snug fit,1,"Comfortable snug fit -> Fit, sizing, length, and coverage -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Comfortable soft material,1,"Comfortable soft material -> Fabric feel, weight, and comfort -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Comfortable stretchy material,1,"Comfortable stretchy material -> Comfort, fabric, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Comfortable to wear,1,"Comfortable to wear -> Comfort, wearability, and layering -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Comfortable weekend wear,1,"Comfortable weekend wear -> Versatility and Ease of Styling -> Versatility, Styling, Layering, and Occasion Suitability -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,"Comfortable, non-scratchy fabric",1,"Comfortable, non-scratchy fabric -> Comfort, softness, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Comparison to similar top,1,"Comparison to similar top -> Design details and functionality -> Functionality, Coverage, and Practical Garment Features -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Conceals postpartum weight,1,"Conceals postpartum weight -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Concern about bottom rolling,1,"Concern about bottom rolling -> Comfort, warmth, and wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Conservative knee-grazing length,1,"Conservative knee-grazing length -> Style, appearance, and versatility -> Style Versatility, Coordination, and Functionality -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Considering alteration,1,"Considering alteration -> Fit, sizing, and garment proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Considering petite size,1,"Considering petite size -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Considering size exchange,1,"Considering size exchange -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Considering tailoring alterations,1,"Considering tailoring alterations -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Convenient low zipper,1,"Convenient low zipper -> Versatility and Occasion Suitability -> Versatility, Styling, Layering, and Occasion Suitability -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Coordinates with varied outfits,1,"Coordinates with varied outfits -> Styling versatility and occasion suitability -> Versatility, Styling, Layering, and Occasion Suitability -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Correct size except excess material,1,"Correct size except excess material -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Cozy and comfortable,1,"Cozy and comfortable -> Comfort, fabric, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Cozy blanket-like comfort,1,"Cozy blanket-like comfort -> Comfort, softness, and everyday wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Cozy comfort,1,"Cozy comfort -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Cozy feel,1,"Cozy feel -> Comfort, fabric feel, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Creates wider waist appearance,1,"Creates wider waist appearance -> Style, silhouette, and design appeal -> Fit, Silhouette, Coverage, and Proportion -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Cropped boxy fit,1,"Cropped boxy fit -> Fit, Silhouette, and Body-Proportion Experience -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Cropped length,1,"Cropped length -> Fit, sizing, and body-shape compatibility -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Cropped length satisfaction,1,"Cropped length satisfaction -> Fit, sizing, and body-shape compatibility -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Cuffs prevent riding,1,"Cuffs prevent riding -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Cut-fabric combination affects fit,1,"Cut-fabric combination affects fit -> Fit, sizing, and garment proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Cute and cozy,1,"Cute and cozy -> Comfort, Confidence, and Wear Experience -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Cute and flattering fit,1,"Cute and flattering fit -> Fit, Sizing, and Body Shape -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,"Cute, comfortable, casual",1,"Cute, comfortable, casual -> Comfort, wearability, and layering -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Decorative faux-leather detailing,1,"Decorative faux-leather detailing -> Style, appearance, and versatility -> Style Versatility, Coordination, and Functionality -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Deep front V-neck,1,"Deep front V-neck -> Coverage, Opacity, and Garment Functionality -> Functionality, Coverage, and Practical Garment Features -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Defines waist despite looseness,1,"Defines waist despite looseness -> Flattering silhouette and shape definition -> Fit, Silhouette, Coverage, and Proportion -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Delicate material snags easily,1,"Delicate material snags easily -> Fabric feel, breathability, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Demand for tall sizes,1,"Demand for tall sizes -> Fit, sizing, and garment proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Design is highly appealing,1,"Design is highly appealing -> Style, silhouette, and design appeal -> Fit, Silhouette, Coverage, and Proportion -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Desired back darts,1,"Desired back darts -> Design details and functionality -> Functionality, Coverage, and Practical Garment Features -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Desired greater garment length,1,"Desired greater garment length -> Garment Length and Coverage -> Fit, Silhouette, Coverage, and Proportion -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Desired looser fit,1,"Desired looser fit -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Detailed body-size context,1,"Detailed body-size context -> Body-size context and purchase information -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Difficult bra compatibility,1,"Difficult bra compatibility -> Coverage, layering, and garment functionality -> Versatility, Styling, Layering, and Occasion Suitability -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Difficult for large bust,1,"Difficult for large bust -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Difficult to hem buttoned pants,1,"Difficult to hem buttoned pants -> Practical performance and functionality -> Style Versatility, Coordination, and Functionality -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Difficult to layer,1,"Difficult to layer -> Comfort, warmth, and wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Difficult zipper due to no stretch,1,"Difficult zipper due to no stretch -> Practical performance and functionality -> Style Versatility, Coordination, and Functionality -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Disappointing design and fit,1,"Disappointing design and fit -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Disappointing sleeve fabric,1,"Disappointing sleeve fabric -> Fabric comfort, warmth, and wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Dress is comfortable,1,"Dress is comfortable -> Comfort, wearability, and layering -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Dress lacks flattering structure,1,"Dress lacks flattering structure -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Dress length excessively long,1,"Dress length excessively long -> Fit, sizing, and body-shape compatibility -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Dress length is too short,1,"Dress length is too short -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Dress length runs very short,1,"Dress length runs very short -> Length and proportion -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Dress runs large,1,"Dress runs large -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Dress runs short,1,"Dress runs short -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Dress stays in place,1,"Dress stays in place -> Comfort, warmth, and wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Dress versatility for occasions,1,"Dress versatility for occasions -> Versatility and styling utility -> Versatility, Styling, Layering, and Occasion Suitability -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Easy and flattering to wear,1,"Easy and flattering to wear -> Comfort, Confidence, and Wear Experience -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Easy summer wear,1,"Easy summer wear -> Fabric comfort, warmth, and wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Easy to clean,1,"Easy to clean -> Fabric comfort, warmth, and wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Easy to match,1,"Easy to match -> Versatility and Ease of Styling -> Versatility, Styling, Layering, and Occasion Suitability -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Easy to smooth wrinkles,1,"Easy to smooth wrinkles -> Comfort, fabric feel, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Easy to wash,1,"Easy to wash -> Comfort and everyday wear experience -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Elastic back creates shape,1,"Elastic back creates shape -> Flattering silhouette and shape definition -> Fit, Silhouette, Coverage, and Proportion -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Elastic waist fits too loosely,1,"Elastic waist fits too loosely -> Fit, sizing, and body-shape compatibility -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Elegant casual design,1,"Elegant casual design -> Neckline, silhouette, and flattering appearance -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Everyday wear suitability,1,"Everyday wear suitability -> Comfort and everyday wear experience -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Excellent drape and length,1,"Excellent drape and length -> Length, Coverage, and Proportion -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Excellent drape and movement,1,"Excellent drape and movement -> Comfort, warmth, and wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Excellent fit for body shape,1,"Excellent fit for body shape -> Fit, sizing, and body-shape compatibility -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Exceptional comfort,1,"Exceptional comfort -> Comfort, fabric, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Exceptional sweatshirt comfort,1,"Exceptional sweatshirt comfort -> Comfort, warmth, and wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Exceptional warmth,1,"Exceptional warmth -> Fabric comfort, warmth, and wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Exceptionally soft fabric,1,"Exceptionally soft fabric -> Fabric comfort, warmth, and wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Excess chest fabric,1,"Excess chest fabric -> Fit, sizing, and body-shape compatibility -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Excess fabric,1,"Excess fabric -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Excess fabric under arms,1,"Excess fabric under arms -> Fit, sizing, and garment proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Excessive lower-half material,1,"Excessive lower-half material -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Excessively loose tent-like cut,1,"Excessively loose tent-like cut -> Flattering silhouette and shape definition -> Fit, Silhouette, Coverage, and Proportion -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Excessively wide cut,1,"Excessively wide cut -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Excessively wide measurements,1,"Excessively wide measurements -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Excessively wide sleeves,1,"Excessively wide sleeves -> Practical Features and Functionality -> Functionality, Coverage, and Practical Garment Features -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Exchange uncertainty,1,"Exchange uncertainty -> Flattering fit, sizing accuracy, and proportion -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Exchanging for smaller size,1,"Exchanging for smaller size -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Extra fabric,1,"Extra fabric -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Extra lining needed,1,"Extra lining needed -> Fabric Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Extra-long length,1,"Extra-long length -> Fit, sizing, and garment proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Extremely billowy fit,1,"Extremely billowy fit -> Fit, sizing, length, and coverage -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Extremely comfortable,1,"Extremely comfortable -> Comfort, softness, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Extremely sheer fabric,1,"Extremely sheer fabric -> Coverage, Opacity, and Garment Functionality -> Functionality, Coverage, and Practical Garment Features -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,"Extremely wide, boxy fit",1,"Extremely wide, boxy fit -> Fit, sizing, and body-shape compatibility -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Eye-catching appearance,1,"Eye-catching appearance -> Neckline, silhouette, and flattering appearance -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Fabric feels thin,1,"Fabric feels thin -> Fabric comfort and feel -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Fabric feels too lightweight,1,"Fabric feels too lightweight -> Fabric feel, weight, and comfort -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Fabric pills immediately,1,"Fabric pills immediately -> Fabric and material experience -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Fabric quality satisfaction,1,"Fabric quality satisfaction -> Comfort, fabric, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Fabulous material,1,"Fabulous material -> Comfort, fabric feel, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Family-friendly occasion wear,1,"Family-friendly occasion wear -> Versatility and intended use -> Versatility, Styling, Layering, and Occasion Suitability -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Feels more like sweater,1,"Feels more like sweater -> Comfort, fabric, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,"Feminine, flattering appearance",1,"Feminine, flattering appearance -> Neckline, silhouette, and flattering appearance -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Figure-flattering fit,1,"Figure-flattering fit -> Fit, Sizing, and Body Shape -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
